date,timestamp,price_usd,symbol,contract_address,source,fetched_at_utc
2025-02-06,2025-02-06 00:00:00+00:00,0.017780644208431444,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-07,2025-02-07 00:00:00+00:00,0.01314645896382371,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-08,2025-02-08 00:00:00+00:00,0.012990689658960131,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-09,2025-02-09 00:00:00+00:00,0.016502283326847552,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-10,2025-02-10 00:00:00+00:00,0.012530312356552428,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-11,2025-02-11 00:00:00+00:00,0.010267900337985065,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-12,2025-02-12 00:00:00+00:00,0.012658565182260252,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-13,2025-02-13 00:00:00+00:00,0.013173911254412507,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-14,2025-02-14 00:00:00+00:00,0.013017131499892464,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-15,2025-02-15 00:00:00+00:00,0.01562493966006078,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-16,2025-02-16 00:00:00+00:00,0.014373622586702021,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-17,2025-02-17 00:00:00+00:00,0.013599347291616984,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-18,2025-02-18 00:00:00+00:00,0.011789366178805705,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-19,2025-02-19 00:00:00+00:00,0.011612996066171902,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-20,2025-02-20 00:00:00+00:00,0.012076052794785994,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-21,2025-02-21 00:00:00+00:00,0.011402541075125077,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-22,2025-02-22 00:00:00+00:00,0.013914702475111436,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-23,2025-02-23 00:00:00+00:00,0.014236228259487577,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-24,2025-02-24 00:00:00+00:00,0.013149281076210361,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-25,2025-02-25 00:00:00+00:00,0.011075312385391726,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-26,2025-02-26 00:00:00+00:00,0.0102567033528844,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-27,2025-02-27 00:00:00+00:00,0.012401513892308355,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
2025-02-28,2025-02-28 00:00:00+00:00,0.01230512830334027,TIBBIR,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,dex_reserves_tibbir_virtual,2026-05-17T09:08:19.376893+00:00
